attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,class
VH,H,M,VH,M,VH,VH,VH,H,M,L,VL,M,VL,L,M,M,H,VL,VL,H,class_1
VH,H,VH,VH,VH,H,VH,H,VH,M,VL,L,VL,VL,M,VL,H,M,VL,L,VH,class_0
L,VL,M,VL,L,L,M,M,M,M,M,VH,VH,H,M,L,L,VL,VL,L,VH,class_2
L,H,VL,L,L,VL,VL,H,VL,M,H,H,H,H,VH,H,H,L,VH,M,VH,class_2
VH,M,M,VL,L,VL,VL,L,VL,L,L,M,VH,VH,VH,VH,VH,H,M,L,VL,class_2
H,VH,VH,H,VH,VH,VH,VH,VH,L,L,VL,VL,VL,VL,VL,L,M,M,M,VL,class_0
VL,M,VL,M,H,H,M,M,M,VH,VH,H,VH,M,H,L,M,H,L,VL,VH,class_2
M,L,VH,M,M,VL,M,L,VL,VH,VH,H,VH,M,H,M,M,M,VL,VH,VL,class_2
VL,VL,L,L,VL,M,M,M,H,VH,VH,H,H,M,H,L,M,L,L,VL,VL,class_2
L,VL,M,L,M,VL,L,M,VH,VH,VH,VH,M,L,M,M,L,L,VL,VL,VL,class_1
VH,M,M,M,VH,VL,H,VH,M,H,VH,VH,L,VL,L,M,L,L,VL,L,VH,class_1
M,M,L,VH,H,M,H,H,VH,H,VH,M,L,L,L,VL,L,VL,L,VL,L,class_1
VL,M,M,VL,L,L,VL,VL,VL,VL,VL,L,M,VH,VH,VH,VH,M,VH,VH,L,class_2
M,VL,L,VL,VL,L,L,L,H,VH,H,H,M,H,M,VL,H,L,VH,VL,VH,class_2
M,VH,L,VH,VH,VH,VH,H,H,M,VL,M,VL,L,L,L,VL,L,L,VH,VL,class_1
VH,L,VL,VL,M,VL,VL,L,L,M,VH,H,H,VH,M,M,H,VL,M,VH,M,class_2
H,L,VH,M,VH,VH,VH,H,H,M,VL,VL,VL,VL,VL,L,L,VL,M,H,VL,class_0
H,H,VH,VH,VH,VH,VH,VH,VH,H,L,L,M,VL,VL,L,VL,VL,VL,VH,H,class_1
VL,VL,M,VH,H,VH,H,H,H,L,L,VL,VL,VL,L,VL,VL,L,L,L,VH,class_1
VH,VL,M,VL,VL,VL,VL,VL,VL,VL,VL,M,VH,VH,VH,VH,VH,VH,H,VH,VL,class_2
M,M,L,VL,VL,M,L,M,M,M,VH,H,M,M,M,VH,H,H,M,H,L,class_2
H,VH,VH,H,M,H,H,H,L,H,VL,L,L,VL,M,H,VH,M,VH,M,VH,class_0
L,L,M,VL,M,L,M,VL,VL,L,VH,H,VH,VH,H,M,H,L,VH,VH,L,class_2
M,VH,VH,M,H,M,H,M,VH,H,H,M,M,L,M,VL,L,VL,L,L,H,class_1
H,L,H,H,VH,M,VH,VH,L,M,M,L,VL,H,L,M,M,M,H,VH,M,class_0
VH,M,VH,H,H,H,H,M,H,M,H,L,M,L,M,M,M,VL,VL,M,M,class_1
M,L,L,L,H,M,M,L,M,M,L,L,L,VL,M,H,L,L,VH,H,L,class_0
VH,VH,VH,H,VL,VL,L,L,L,H,VH,VH,H,H,M,L,VH,L,M,VL,H,class_2
H,H,H,VH,M,VH,VH,M,H,M,H,L,VL,L,VL,M,L,M,VH,M,VL,class_0
M,VL,VL,L,L,VL,M,L,M,L,H,H,VH,M,VH,H,M,L,VL,H,VH,class_2
VL,L,H,H,VH,VH,VH,VH,H,L,M,L,L,VL,VL,L,L,H,L,M,M,class_1
L,M,M,VH,H,VH,H,VH,H,M,VL,VL,L,VL,M,L,VL,L,M,L,VH,class_0
VH,H,VH,VH,H,L,M,M,L,VL,L,VL,VL,M,H,VH,H,M,VH,M,L,class_0
L,VH,L,VL,L,H,H,VH,M,H,M,M,M,L,VL,M,VL,M,VL,H,L,class_1
M,VL,M,VH,H,H,H,M,VH,M,VL,L,VL,VL,VL,VL,VL,VL,VL,M,H,class_1
M,L,VH,VH,H,M,H,L,VH,H,L,M,VL,VL,L,L,H,L,VL,M,H,class_0
L,M,M,L,M,VL,VL,L,L,VL,VL,M,L,VH,VH,H,VH,M,M,M,M,class_2
M,VH,H,M,H,VH,H,M,H,H,H,H,VL,L,M,L,M,VL,L,M,VH,class_1
M,VH,M,L,VL,H,M,H,VH,M,H,H,M,M,L,M,M,VL,VL,M,M,class_1
VL,VL,VH,VH,H,VH,VH,H,H,VH,VL,VL,VL,L,VL,M,M,M,L,L,VL,class_1
VH,VL,L,L,L,L,L,M,L,H,H,VH,L,L,L,L,M,L,M,H,L,class_2
L,L,L,H,M,M,H,H,VH,VH,VH,VH,M,M,M,M,M,L,VL,M,L,class_1
M,VH,VH,M,H,M,L,L,H,VH,VH,M,M,L,M,VL,VL,VL,M,VL,H,class_1
VH,H,M,VH,VH,H,VH,H,H,VH,M,VL,VL,L,VL,L,VL,L,VL,L,L,class_1
M,VL,M,L,VL,VL,L,M,L,L,VH,H,M,VH,VH,M,H,L,M,VH,L,class_2
VH,VL,VL,L,L,VL,VL,VL,VL,L,VL,M,VH,VH,VH,VH,VH,VH,M,M,L,class_2
M,H,VH,H,H,H,H,H,H,H,M,VL,VL,L,L,M,L,VL,VL,L,L,class_0
L,H,H,H,M,M,L,M,H,VH,VH,M,VH,M,L,L,M,L,VL,VL,H,class_2
H,VH,H,VH,M,M,L,H,L,L,VL,M,M,H,L,M,H,H,H,VL,H,class_0
VH,L,H,VH,L,H,M,M,L,VH,L,L,H,M,L,H,VL,H,H,H,VL,class_0
H,VH,M,L,VH,H,H,L,VL,L,L,L,L,VL,L,M,H,M,VH,VH,VL,class_0
L,VL,H,VL,VL,VL,M,VL,H,M,L,M,VH,M,M,L,M,VH,L,H,VH,class_2
L,H,L,L,VL,L,L,L,VL,VH,H,VH,VH,VH,VH,H,H,H,L,VL,VH,class_2
M,VL,H,M,VL,L,VL,M,VL,M,M,M,VH,M,H,H,H,L,VH,VH,L,class_2
M,L,VL,H,H,H,M,M,L,M,VL,L,VL,L,M,M,H,VH,M,VH,VL,class_0
VL,M,H,VH,H,VH,VH,VH,VH,VL,M,L,VL,L,VL,VL,VL,L,H,M,L,class_1
VH,VH,VH,M,H,M,VH,H,H,H,H,L,VL,L,VL,L,VL,M,M,L,L,class_1
L,H,M,M,L,M,H,H,VH,H,VH,L,L,M,L,VL,VL,VL,H,VL,M,class_1
M,M,L,H,H,M,H,L,M,L,VL,L,L,L,H,VL,L,H,L,VH,H,class_0
VL,VL,M,M,M,VL,M,M,VL,VL,VL,M,H,VH,H,VH,VH,M,VH,H,M,class_0
L,L,L,VL,L,M,H,H,VH,H,VH,VH,H,M,M,M,VL,L,VH,M,H,class_1
M,M,M,L,VL,M,H,M,M,M,VL,M,M,M,H,H,VH,L,H,H,H,class_0
VL,VH,M,M,VL,L,H,L,H,M,VH,VH,H,VH,L,L,L,L,VH,VH,L,class_2
L,L,VL,VL,VL,M,H,L,L,H,M,VH,L,H,H,L,L,H,L,H,L,class_2
VL,L,M,H,L,L,L,L,VH,H,VH,VH,VH,M,M,H,M,L,M,M,H,class_2
L,VH,M,VH,M,M,L,M,VH,M,VH,VH,M,VL,VL,VL,L,H,L,VH,VL,class_1
L,L,H,H,M,H,H,L,H,M,VH,VH,H,L,VL,VL,VL,L,VL,VH,H,class_1
VH,M,M,M,M,M,L,M,L,L,L,L,L,VH,H,M,VH,H,VH,VH,VH,class_0
L,VH,H,H,M,H,H,M,M,L,VL,M,H,M,M,M,L,H,H,VL,M,class_0
VH,H,M,H,M,M,VL,VL,L,L,VL,H,VH,VH,VH,H,VH,VH,VH,L,L,class_0
VH,VH,L,L,L,L,L,M,VL,L,L,M,M,VH,VH,H,VH,VH,VH,VH,M,class_0
L,VH,L,VL,L,M,L,L,L,H,VH,VH,M,H,VH,H,H,VL,VL,H,VH,class_2
L,VH,VL,M,L,L,L,H,VH,VH,VH,VH,L,M,M,M,M,VL,H,M,VL,class_2
L,M,VL,L,L,L,VL,VL,VL,VL,VL,M,VH,VH,VH,VH,VH,VH,VH,VH,H,class_2
M,VL,VL,L,M,M,H,M,VH,VH,VH,H,M,M,L,H,L,VL,H,H,L,class_1
H,VL,VL,M,VL,L,H,M,VH,VH,VH,H,VH,L,M,VL,L,VL,L,VL,VL,class_2
VH,M,M,M,VH,H,H,M,VH,VH,H,H,VL,M,VL,VL,L,VL,L,M,VL,class_1
M,L,L,M,H,VH,M,L,M,M,VL,VL,VL,VL,VL,VL,VL,VL,VL,H,H,class_0
H,H,VH,VH,VH,VH,VH,H,VH,M,L,VL,VL,VL,VL,VL,VL,VL,VL,L,M,class_1
L,VL,M,H,VL,L,VL,VL,VL,VL,VL,H,VH,VH,VH,VH,VH,H,VH,VH,H,class_2
L,VH,VH,H,VH,H,H,H,M,H,H,VL,L,L,L,H,VL,VL,L,M,VH,class_1
VL,VH,L,VL,VH,VL,VL,L,VL,VL,L,VH,VH,VH,VH,H,VH,VH,VH,VH,L,class_0
M,M,VL,M,VL,VL,VL,VL,L,VL,M,L,H,VH,VH,H,VH,VH,H,VH,M,class_0
VH,H,VL,VL,VL,M,L,L,L,H,H,H,H,H,M,M,VH,VH,VH,VH,L,class_2
VL,L,VL,M,M,VL,L,M,VL,M,VL,M,H,VH,H,H,L,H,H,L,M,class_2
H,H,VH,M,VH,VH,VH,VH,H,L,M,VL,M,L,L,M,VL,VL,H,M,L,class_0
M,L,M,M,H,H,M,H,H,H,VH,M,L,L,L,VL,H,L,VL,VL,VH,class_1
L,L,VL,L,VL,M,L,VL,VL,M,M,L,H,M,VH,VH,VH,VH,H,VH,L,class_2
VH,L,VH,VH,H,H,VH,H,M,H,H,VL,L,VL,VL,VL,VL,VL,L,H,L,class_1
VL,H,M,VH,VH,VH,VH,VH,H,L,M,VL,VL,VL,M,L,M,M,L,H,VL,class_0
H,M,M,H,H,H,M,M,L,L,L,L,L,L,H,VH,H,VL,VH,H,H,class_0
VL,VL,M,VH,H,H,VH,H,H,M,H,VL,L,VL,L,VL,VL,L,L,VH,M,class_1
L,M,H,VL,VL,VL,L,H,M,VH,VH,H,VH,M,L,VL,H,M,L,H,VL,class_2
L,L,M,L,L,VL,M,M,VH,M,H,VH,VH,M,M,M,H,VL,L,L,H,class_2
VH,H,VL,M,L,L,L,M,VL,VL,L,L,H,M,H,H,H,VH,M,VH,H,class_0
VL,H,M,L,L,L,VL,L,VL,L,L,VH,H,H,VH,M,H,VH,VH,L,VL,class_2
L,VH,H,H,M,L,M,M,L,L,VL,VL,L,VH,H,M,H,VH,VH,L,L,class_0
VH,L,VH,H,VH,VH,VH,VH,H,L,M,VL,VL,L,VL,VL,L,M,H,L,L,class_0
VL,L,H,L,VH,H,H,VH,VH,H,VH,M,L,VL,VL,L,VL,VL,L,H,L,class_1
VL,L,VH,M,M,L,VL,M,L,VH,VH,H,M,H,M,L,L,M,H,H,M,class_2
M,L,L,H,M,L,L,L,VL,VL,VL,H,VH,VH,VH,M,H,H,H,VH,M,class_2
L,VL,M,VL,VL,L,VL,L,M,M,VH,H,H,H,H,M,VL,M,M,M,VL,class_2
VL,VH,H,VH,H,VH,VH,VH,H,M,M,L,VL,VL,M,VL,L,M,VH,VH,L,class_1
VL,VL,VH,L,L,VH,H,VH,H,VH,H,VH,M,L,M,VL,VL,VL,M,M,L,class_1
L,VL,L,VL,L,M,VL,H,M,H,H,VH,H,M,H,M,VH,VH,M,L,L,class_2
VH,L,VL,VL,M,L,VL,L,VL,H,H,M,VH,H,H,H,M,H,H,H,VL,class_2
M,VH,VL,L,M,VH,VH,VH,VH,H,VH,H,VL,VL,L,VL,L,VL,VL,VL,VH,class_1
L,M,H,VL,H,H,H,H,VH,H,H,M,M,L,M,VL,VL,VL,VL,VL,VH,class_1
VL,L,H,VH,VH,H,VH,VH,M,M,VL,VL,VL,VL,VL,L,VL,L,L,H,VL,class_1
H,M,VL,VH,H,VL,VL,M,VH,VH,VH,VH,H,VH,H,H,L,H,M,VL,VL,class_2
M,VH,M,M,H,H,M,L,VH,VL,M,M,L,H,H,H,L,VL,H,M,L,class_0
L,M,H,L,VL,VL,M,H,VH,M,VH,M,M,H,VL,L,M,L,L,H,H,class_2
M,H,VH,L,M,H,VH,VH,VH,VH,H,M,L,M,VL,L,L,VL,L,M,H,class_1
VL,M,VH,VH,VH,VH,H,H,M,L,VL,L,VL,L,L,VL,L,VL,M,L,M,class_0
M,H,VH,H,VH,VH,VH,H,VH,H,H,VL,VL,M,VL,L,M,VL,VH,H,L,class_0
L,M,L,H,H,H,M,H,VH,VL,VL,M,VL,L,M,M,H,VL,H,L,VL,class_0
L,VL,VL,VL,VL,VL,VL,M,L,VL,VL,M,VH,VH,VH,H,L,H,VH,VH,H,class_2
L,VH,M,L,M,VH,H,L,L,L,VL,M,M,M,M,H,L,L,H,L,M,class_0
H,M,VL,L,H,VH,M,VL,L,VL,VL,L,H,H,H,VH,VH,H,H,VL,VH,class_0
VH,VH,H,H,M,VH,VH,H,M,H,H,H,VL,L,M,VL,L,VL,M,L,VH,class_1
VH,H,H,VH,VH,VH,VH,VH,VH,L,M,L,L,L,VL,L,M,VL,H,L,VL,class_1
VL,VH,H,VH,H,VH,VH,VH,VH,M,L,M,VL,VL,VL,VL,VL,L,VL,H,L,class_1
L,L,VL,VL,VL,L,M,H,M,M,VH,VH,M,VH,M,L,M,H,VL,L,M,class_2
H,L,M,H,M,H,VH,H,M,M,L,VL,VL,L,VL,L,L,L,VL,L,H,class_1
L,VL,M,H,VL,M,M,H,VH,VH,H,M,H,L,VL,L,VL,H,VL,L,H,class_1
VL,VH,VH,M,H,H,VH,VH,VH,H,M,VL,VL,VL,L,VL,M,L,M,M,L,class_0
VH,VL,VL,M,M,H,L,VH,M,VH,H,VH,H,H,M,L,L,VL,M,L,L,class_1
VL,H,M,H,L,VL,VL,VL,L,VL,L,M,VH,VH,VH,VH,VH,VH,VH,VH,H,class_0
VH,H,M,M,VL,L,M,VL,VL,VL,H,L,H,VH,VH,VH,H,H,VH,M,L,class_0
H,L,L,L,VL,H,L,H,M,VH,VH,VH,M,M,L,VL,VL,VL,L,M,VH,class_1
VH,H,L,M,H,L,M,H,VL,M,VL,L,M,VH,M,H,H,H,M,VL,M,class_0
VH,VL,VH,M,H,M,L,VL,VL,VL,L,M,H,M,H,VH,VH,H,H,H,H,class_0
VH,M,H,L,VL,L,M,VL,L,M,VL,VL,H,M,H,VH,VH,H,VH,H,VL,class_0
VH,VL,H,VL,L,L,L,M,VH,H,VH,VH,M,M,M,VL,L,VL,L,M,VH,class_2
M,VL,L,H,VL,M,H,M,H,H,VH,M,L,L,L,L,M,M,VL,L,L,class_1
VL,VL,VL,M,VL,M,H,H,VH,VH,VH,VH,H,M,VL,VL,M,L,M,VL,L,class_1
H,L,VH,VL,L,L,L,L,M,H,VL,M,VH,H,VH,H,H,L,M,M,M,class_2
L,VL,H,M,L,L,VL,VL,L,VL,M,L,H,VH,VH,VH,VH,VH,H,M,H,class_2
M,M,VH,H,H,H,H,VH,VH,H,L,VL,VL,VL,M,L,M,L,VH,L,L,class_1
M,M,VH,VH,VH,H,VH,VH,VH,H,L,L,VL,VL,VL,VL,VL,M,H,M,M,class_0
VL,VL,H,L,H,H,H,L,M,VL,L,VL,VH,M,H,H,VH,VH,M,L,VL,class_0
M,VL,L,L,L,L,M,H,VH,VH,M,VH,VH,M,L,M,VL,VL,M,H,M,class_2
M,VL,VL,VL,M,VL,VL,L,L,VL,VL,M,VH,H,VH,VH,VH,VH,VH,VH,M,class_2
VH,M,VL,M,L,M,M,M,VL,VL,L,L,L,M,M,H,H,H,H,H,L,class_0
L,L,L,L,M,VL,VL,VL,VL,L,M,VH,VH,H,M,H,M,VH,L,M,L,class_2
M,M,VH,H,VH,VH,VH,VH,VH,M,VL,L,VL,VL,L,VL,VL,M,VL,M,VH,class_1
VL,H,VL,L,VL,M,H,VL,VL,L,H,VH,H,VH,H,VH,VH,H,M,H,M,class_2
VH,M,L,VL,L,L,VL,VL,VL,VL,H,H,VH,VH,H,VH,VH,VH,H,L,M,class_2
L,VH,VL,L,VL,L,L,VL,M,M,VH,H,M,M,M,M,M,M,VL,VL,H,class_2
VL,VL,M,H,VL,VL,H,H,M,H,VH,VH,H,VH,L,L,M,L,L,H,VL,class_1
H,VL,M,L,L,M,M,H,M,H,VH,H,M,M,L,H,VL,VL,VL,H,VH,class_1
H,VL,L,H,L,M,H,L,H,VH,H,H,VL,M,L,L,M,VL,L,L,VH,class_1
L,H,H,L,H,M,L,VL,H,VH,H,VH,M,H,H,L,H,M,VH,VH,VH,class_2
VH,H,H,VH,H,L,VH,L,M,L,VL,L,VL,VL,L,M,M,L,VL,H,VH,class_0
L,VL,L,VL,L,M,L,M,M,VH,VH,VH,H,VH,H,M,M,H,VL,M,VL,class_2
M,H,M,H,M,M,H,L,VH,VH,M,M,VH,M,M,L,VL,L,L,H,VH,class_1
L,L,VH,H,H,L,H,L,VL,L,M,VH,H,H,VH,VH,H,VH,H,M,VH,class_0
VH,VH,L,H,L,M,VL,M,M,H,H,L,VH,H,M,M,H,VL,VH,VL,L,class_2
H,VL,M,M,VL,VL,L,M,VH,VH,H,VH,M,H,L,L,M,VL,VL,H,VH,class_2
H,M,H,H,VH,H,VH,M,L,M,H,VL,VL,VL,VL,L,H,VL,L,H,VL,class_0
L,VL,VH,VH,M,M,H,VH,M,VL,L,VL,M,M,H,VL,M,H,VH,L,M,class_0
VH,VH,H,VH,VH,VH,VH,H,VH,L,VL,VL,VL,L,L,L,M,M,M,VH,L,class_0
VL,L,H,L,L,VL,VL,VL,VL,VL,M,M,H,VH,H,VH,VH,VH,H,VH,H,class_2
L,L,H,H,L,L,M,M,VL,L,VL,L,M,VH,VH,VH,VH,VH,M,M,VL,class_0
VH,H,M,VL,L,L,M,L,H,VH,VH,H,H,VH,L,H,VL,H,H,VL,M,class_2
L,VH,M,M,L,L,M,M,M,M,M,H,H,H,H,H,M,VL,L,M,L,class_2
VH,H,H,H,VH,H,VH,H,M,H,M,VL,VL,VL,L,L,M,M,VL,VH,H,class_1
H,M,VL,VL,M,M,VL,H,M,L,VH,VH,VH,VH,M,M,H,H,VL,H,M,class_2
VH,VL,L,VL,L,VL,VL,VL,VL,VL,L,H,VH,VH,VH,VH,H,H,M,L,H,class_2
L,M,VL,M,L,VL,M,M,L,M,H,VH,M,VH,H,H,M,H,H,H,L,class_2
VL,M,VL,M,VL,L,M,VL,L,VH,VH,VH,M,H,VH,H,L,H,VH,H,M,class_2
VH,VL,VL,M,VH,M,VH,VH,H,H,VH,M,H,L,L,M,VL,H,VL,H,VL,class_1
M,L,M,VL,M,VH,M,M,H,H,VH,H,L,L,VL,VL,L,L,L,VL,VH,class_1
VH,VL,VH,L,VH,VH,VH,VH,VH,VH,H,VL,VL,VL,VL,VL,H,VL,H,VL,M,class_0
VH,L,H,M,L,H,L,H,VH,VH,VH,H,H,H,L,VL,VL,VL,VL,VH,M,class_1
L,M,VH,H,VL,M,M,M,H,VL,VL,H,L,H,VH,VH,H,H,H,VH,H,class_0
H,H,H,VH,VH,VH,VH,VH,H,VL,L,VL,VL,VL,L,L,VL,L,H,L,L,class_0
VL,VL,VL,VL,L,VL,H,M,L,H,VH,VH,H,H,L,VL,L,M,H,L,L,class_2
VL,H,VH,VH,VH,VH,VH,H,H,L,VL,VL,VL,L,VL,VL,VL,L,M,VL,M,class_0
VL,VL,M,L,M,VL,L,VL,VL,L,M,M,H,M,VH,VH,VH,VH,VH,VH,M,class_0
VL,L,H,L,VL,VL,M,M,L,VL,H,H,VH,L,VH,VH,L,L,H,VL,M,class_2
VH,VH,H,H,VH,M,VH,M,H,H,H,H,M,L,M,M,L,L,L,H,VH,class_1
L,VL,VH,VH,M,M,H,H,H,H,H,M,M,L,VL,VL,L,M,VL,VL,VH,class_1
L,H,H,VL,L,VL,VL,L,L,M,H,M,VH,M,M,H,L,VH,VL,M,VL,class_2
L,VH,H,M,L,VL,VL,L,L,M,L,M,VH,H,VH,VH,H,M,VH,VL,M,class_2
M,VL,VL,M,M,L,M,M,M,M,VH,VH,VH,H,H,L,M,L,L,VL,H,class_2
L,VH,H,H,VH,VL,H,L,VL,VL,L,L,M,M,H,M,H,M,L,H,M,class_0
VH,H,VH,VH,VH,VH,H,VH,H,M,L,VL,M,VL,VL,VL,VL,L,L,L,L,class_1
L,M,L,M,M,VL,L,VL,VL,VL,L,H,H,M,VH,VH,VH,VH,H,M,L,class_2
VL,H,L,H,L,VL,VL,VL,L,VL,L,VH,VH,VH,VH,H,VH,H,M,M,M,class_2
H,M,VH,H,H,VH,H,L,M,H,VL,L,L,M,VL,L,M,M,M,M,VH,class_0
VH,L,H,VH,H,VH,VH,M,VH,H,L,L,VL,VL,VL,VL,L,L,M,M,VL,class_1
H,M,VL,VL,L,M,H,H,H,H,M,M,VH,M,H,H,M,M,VL,L,M,class_1
VL,VH,VL,VL,VL,L,M,L,H,H,H,M,VH,VH,M,H,M,M,L,L,M,class_2
M,VH,VL,VH,H,H,H,H,VH,VH,H,VH,L,VL,M,H,L,VL,M,VL,VL,class_1
M,H,M,M,M,H,M,H,VH,M,H,M,VL,L,VL,M,L,VL,H,VH,VL,class_1
VH,VL,VH,H,VH,VH,H,VH,H,M,L,L,VL,VL,VL,M,VL,VH,VL,VL,H,class_0
L,VL,H,VL,M,M,L,M,VL,L,L,VL,M,M,VH,VH,VH,H,H,VH,L,class_0
VH,VL,H,H,VH,H,M,H,L,L,VL,VL,VL,H,M,L,VH,VH,VH,H,M,class_0
VL,H,VL,L,L,L,L,H,M,VH,H,H,H,M,H,VL,VH,L,H,H,H,class_2
VL,M,VH,H,H,H,M,VH,VH,H,H,L,VH,VH,L,VL,L,L,VL,VH,L,class_1
VH,L,H,VL,M,VL,L,L,M,VL,M,H,VH,M,VH,H,VH,H,H,L,VH,class_2
H,VH,M,H,M,H,H,VL,M,L,VL,L,H,L,M,H,H,VH,M,VL,VL,class_0
L,VL,H,M,VL,VL,M,VL,M,VH,H,M,VH,H,M,M,VL,H,L,M,L,class_2
L,VL,VH,L,VH,M,L,L,VL,VL,VL,L,VL,H,H,H,VH,M,H,VL,VL,class_0
M,H,H,M,L,L,L,VL,VL,VL,L,H,L,VH,VH,H,VH,VH,M,M,L,class_0
VH,VL,M,H,M,L,L,H,M,VL,L,H,VH,M,H,M,H,VH,M,L,M,class_2
M,VL,L,L,H,L,M,M,M,M,VH,M,M,L,M,M,L,M,M,L,VH,class_1
VH,L,VL,L,VL,VL,VL,VL,VL,VL,M,M,H,VH,H,VH,H,H,VH,VH,L,class_2
VL,H,VL,VL,L,VL,VL,L,L,M,H,H,H,VH,L,M,M,M,L,VL,L,class_2
VH,VH,L,L,VL,L,VL,VL,L,M,M,M,VH,VH,VH,VH,VH,H,VH,L,VH,class_2
H,H,M,H,VH,VH,M,M,M,M,VL,VL,VL,L,M,M,M,L,H,VH,VH,class_0
L,H,L,VL,L,VL,L,VL,L,VL,H,VH,H,H,VH,M,H,M,M,VL,L,class_2
M,VH,H,L,M,VH,M,VH,VL,H,H,L,L,M,H,L,H,M,VH,H,VH,class_0
L,VL,VL,L,L,VH,H,H,VH,H,H,H,L,VL,L,VL,VL,H,VL,M,M,class_1
L,M,VH,VH,VH,VH,VH,H,M,H,M,VL,VL,VL,VL,M,L,VL,M,VL,H,class_0
M,VH,VH,VH,H,H,H,M,VH,M,L,VL,VL,L,M,M,H,L,VH,L,M,class_0
H,M,L,H,H,M,M,M,H,VH,VH,M,H,L,VL,H,L,M,L,VH,VL,class_1
VH,M,M,L,M,M,VL,H,M,VH,VH,H,L,M,M,L,VL,L,H,L,L,class_2
M,L,L,VL,M,VL,L,H,VL,L,H,VH,H,M,H,VH,VH,H,H,L,VL,class_2
VL,M,VL,H,VH,H,H,VH,H,L,L,VL,VL,L,L,L,H,H,H,L,M,class_0
M,L,VL,VL,L,H,M,M,VH,VH,VH,VH,VH,H,L,M,M,L,VL,M,L,class_2
VH,VH,VH,H,VH,H,H,H,L,VH,H,VL,L,L,L,L,VL,VL,H,M,L,class_1
H,L,H,VH,VH,VH,H,H,H,VL,L,L,L,VL,M,M,L,VL,L,VH,VL,class_0
VL,VH,L,L,VL,VL,VL,M,L,M,H,VH,H,M,VH,H,VH,VH,H,M,M,class_2
L,H,H,H,VH,VH,H,VH,H,H,L,L,L,L,VL,M,VL,L,M,VL,L,class_1
L,VH,VH,M,H,H,L,M,VL,VL,M,VL,L,M,H,H,M,H,H,H,VL,class_0
VH,H,VH,VH,VH,VH,VH,H,M,M,VL,L,VL,VL,VL,M,VL,M,VH,H,H,class_0
L,L,H,VL,L,VL,VL,L,H,VH,VH,VH,VH,H,M,M,L,VL,VL,M,M,class_2
M,M,L,H,M,M,VH,VH,VH,M,H,M,L,L,L,M,VL,L,M,VH,VL,class_1
H,M,L,VL,L,M,VL,VL,VL,VL,VL,H,VH,H,VH,H,VH,VH,VH,VH,VL,class_2
VH,VH,VH,H,VH,H,H,L,H,L,H,M,VL,L,VL,L,VL,VL,H,VL,VL,class_1
VH,VL,VL,VL,VL,H,VL,VL,VL,VL,VL,VL,H,H,VH,VH,VH,M,H,VH,M,class_0
H,VL,VL,VL,VL,M,M,H,M,VH,VH,M,M,M,H,M,H,H,H,VH,M,class_2
VL,VL,M,M,H,VH,VH,VH,H,VH,H,M,L,M,M,L,VL,VL,VL,VH,L,class_1
L,L,VH,VH,VH,H,VH,VH,VH,M,VL,VL,VL,VL,L,L,VL,L,VL,H,VH,class_0
M,VL,H,M,VL,L,L,VH,VH,VH,H,H,M,VH,VL,L,L,VL,VL,M,M,class_1
VH,M,L,L,L,VL,M,H,H,VH,H,VH,VH,H,VL,M,VL,M,M,L,H,class_2
VH,VL,VL,VL,VL,L,VL,VL,L,L,H,H,VH,M,VH,H,H,M,VH,L,L,class_2
VH,H,VH,H,H,M,VH,H,VH,H,H,M,L,M,VL,L,L,VL,H,L,L,class_1
H,L,L,H,H,H,H,M,H,M,M,H,L,VL,M,M,L,L,H,L,VH,class_1
L,L,H,VH,L,VL,VL,M,L,VH,VH,VH,VH,VH,H,L,M,L,VL,M,VL,class_2
VH,L,VL,L,L,M,L,H,H,VH,VH,VH,M,H,VH,H,VL,H,VL,VH,H,class_2
H,VL,M,M,VL,L,VL,L,H,VH,H,H,VH,M,M,L,M,L,M,H,L,class_2
L,VL,VL,M,VL,H,M,H,M,VH,H,VH,M,L,VL,L,VL,VL,H,M,VH,class_1
L,M,VL,VL,L,L,L,VH,H,VH,VH,H,M,L,M,VH,VL,VL,L,L,H,class_2
M,H,M,VL,L,VL,H,M,L,VH,VH,H,H,VH,M,H,M,L,M,VH,H,class_2
VH,L,VH,M,L,VL,VL,VL,VL,VL,L,M,VH,M,H,VH,VH,H,M,VH,H,class_2
VL,M,VH,H,VH,VH,VH,H,H,L,M,M,VL,L,M,L,M,L,M,M,L,class_1
VH,M,H,VH,VH,VH,VH,VH,VH,M,VL,L,L,VL,L,L,VL,L,VL,VL,H,class_1
L,M,VL,L,L,M,L,H,H,VH,VH,VH,H,L,L,M,M,H,L,M,VH,class_2
H,M,VL,L,M,VL,M,H,H,H,VH,VH,VH,M,L,M,M,H,VL,H,VH,class_2
VL,M,L,VH,L,VL,L,L,VL,L,L,M,M,M,VH,VH,M,VH,H,H,VH,class_0
L,H,VH,VH,VH,H,VH,VH,M,H,H,VL,VL,VL,M,VL,L,VL,L,VL,M,class_1
VH,L,VH,M,VH,VH,VH,VH,M,H,M,VL,VL,VL,VL,L,VL,VL,VL,VH,L,class_0
L,H,VL,M,L,L,L,L,M,L,H,H,M,VH,M,M,M,VL,VL,VL,M,class_2
L,VL,M,VH,VL,M,M,L,L,VL,L,M,H,H,M,H,L,VH,H,L,L,class_0
